Timestamp,Name,Location,Price,CarID,CurrentEmploymentType,CurrentEmploymentTitle,Longitude,Latitude,Payment_Method
458880,Vann_Edvard,Brew've Been Served,11.34,34,Security,Perimeter Control,24.9016,36.089,Credit
459240,Cocinaro_Hideki,Hallowed Grounds,52.22,12,Security,Site Control,24.8798,36.089,Credit
459300,Fusil_Stenig,Brew've Been Served,8.33,20,Security,Building Control,24.9016,36.089,Credit
459360,Frente_Birgitta,Hallowed Grounds,16.72,18,Engineering,Geologist,24.8798,36.089,Credit
459420,Flecha_Sven,Brew've Been Served,4.24,17,Information Technology,IT Technician,24.9016,36.089,Credit
459480,Lais_Cornelia,Brew've Been Served,4.17,0,Unknown,Unknown,24.9016,36.089,Credit
459720,Bergen_Linnea,Coffee Cameleon,28.73,6,Information Technology,IT Group Manager,24.8901,36.089,Credit
459780,Bramar_Mat,Brew've Been Served,9.6,0,Unknown,Unknown,24.9016,36.089,Credit
459780,Tempestad_Brand,Brew've Been Served,16.9,33,Engineering,Drill Technician,24.9016,36.089,Credit
460020,Arpa_Emile,Hallowed Grounds,16.53,0,Unknown,Unknown,24.8798,36.089,Credit
460080,Orilla_Kare,Hallowed Grounds,10.66,27,Engineering,Drill Technician,24.8798,36.089,Credit
460140,Ovan_Bertrand,Coffee Cameleon,8.39,29,Facilities,Facilities Group Manager,24.8901,36.089,Credit
460320,Osvaldo_Hennie,Brew've Been Served,32.83,21,Security,Perimeter Control,24.9016,36.089,Credit
460440,Nubarron_Adra,Coffee Cameleon,11.86,25,Engineering,Geologist,24.8901,36.089,Credit
460440,Pantanal_Rachel,Hallowed Grounds,32.93,0,Unknown,Unknown,24.8798,36.089,Credit
460440,Calixto_Nils,Hallowed Grounds,16.88,8,Information Technology,IT Technician,24.8798,36.089,Credit
460500,Alcazar_Lucas,Hallowed Grounds,8.05,1,Information Technology,IT Helpdesk,24.8798,36.089,Credit
460500,Lagos_Varja,Brew've Been Served,3.67,23,Security,Badging Office,24.9016,36.089,Credit
460740,Ferro_Inga,Brew've Been Served,8.88,13,Security,Site Control,24.9016,36.089,Credit
460800,Mies Haber_Ruscella,Brew've Been Served,4.27,0,Unknown,Unknown,24.9016,36.089,Credit
460800,Ribera_Anda,Hallowed Grounds,9.69,0,Unknown,Unknown,24.8798,36.089,Credit
460860,Dedos_Lidelse,Hallowed Grounds,10.07,14,Engineering,Engineering Group Manager,24.8798,36.089,Credit
