Timestamp,id,lat,long,Name,CurrentEmploymentType,CurrentEmploymentTitle
458452,1,36.065540813,24.884287819166666,Alcazar_Lucas,Information Technology,IT Helpdesk
458514,1,36.06411485473684,24.885916059473683,Alcazar_Lucas,Information Technology,IT Helpdesk
460621,1,36.06371303,24.88593027,Alcazar_Lucas,Information Technology,IT Helpdesk
460680,1,36.061633803499994,24.88472001283333,Alcazar_Lucas,Information Technology,IT Helpdesk
460782,1,36.058622868714295,24.882491455000004,Alcazar_Lucas,Information Technology,IT Helpdesk
460875,1,36.05416018682927,24.882310861463417,Alcazar_Lucas,Information Technology,IT Helpdesk
460977,1,36.05115271188889,24.879963945888882,Alcazar_Lucas,Information Technology,IT Helpdesk
461038,1,36.048483719565226,24.87957116956521,Alcazar_Lucas,Information Technology,IT Helpdesk
476249,1,36.050169263137256,24.879204342352942,Alcazar_Lucas,Information Technology,IT Helpdesk
476326,1,36.054275956875,24.876391274625,Alcazar_Lucas,Information Technology,IT Helpdesk
476430,1,36.0632634042029,24.876347283623193,Alcazar_Lucas,Information Technology,IT Helpdesk
476532,1,36.069140275882354,24.873007239294118,Alcazar_Lucas,Information Technology,IT Helpdesk
476631,1,36.072364240240965,24.867185617349396,Alcazar_Lucas,Information Technology,IT Helpdesk
476730,1,36.076521540649345,24.862356794935064,Alcazar_Lucas,Information Technology,IT Helpdesk
476785,1,36.07666252,24.857683735,Alcazar_Lucas,Information Technology,IT Helpdesk
480309,1,36.076657127857146,24.858338515000003,Alcazar_Lucas,Information Technology,IT Helpdesk
480369,1,36.07626347036144,24.863298207951804,Alcazar_Lucas,Information Technology,IT Helpdesk
480466,1,36.07177209139535,24.867662487325585,Alcazar_Lucas,Information Technology,IT Helpdesk
480569,1,36.06876429913581,24.874063894567904,Alcazar_Lucas,Information Technology,IT Helpdesk
480674,1,36.06164137253521,24.87631572169014,Alcazar_Lucas,Information Technology,IT Helpdesk
480774,1,36.053550256363636,24.87696737831169,Alcazar_Lucas,Information Technology,IT Helpdesk
480845,1,36.04978029121951,24.879574339999998,Alcazar_Lucas,Information Technology,IT Helpdesk
495855,1,36.04932059633333,24.87957377833333,Alcazar_Lucas,Information Technology,IT Helpdesk
495920,1,36.053248556835435,24.881491090379747,Alcazar_Lucas,Information Technology,IT Helpdesk
496019,1,36.06103904727273,24.882527842727274,Alcazar_Lucas,Information Technology,IT Helpdesk
496080,1,36.066241015,24.882593285,Alcazar_Lucas,Information Technology,IT Helpdesk
502599,1,36.06688028531915,24.879586822340425,Alcazar_Lucas,Information Technology,IT Helpdesk
502690,1,36.069094788,24.873494,Alcazar_Lucas,Information Technology,IT Helpdesk
502791,1,36.07210717715909,24.867262461931816,Alcazar_Lucas,Information Technology,IT Helpdesk
502887,1,36.07496244759036,24.861400165783134,Alcazar_Lucas,Information Technology,IT Helpdesk
502945,1,36.075273859999996,24.856616632,Alcazar_Lucas,Information Technology,IT Helpdesk
503341,1,36.07528409,24.85631951,Alcazar_Lucas,Information Technology,IT Helpdesk
505643,1,36.075258150625,24.858321403125,Alcazar_Lucas,Information Technology,IT Helpdesk
